"FYear","QuarterID","Seq_Quarter","SumMeanXSample","Quarter_Weight","QuarterMean","QuarterCatch","QuarterMeanXCatch"
1956,19561,1,2960.35264100515,1518.07028148058,1.95007614411495,506898,988489.697299578
1956,19562,2,1281.58094556135,685.215346731787,1.87033310283255,633679.2,1185191.18433645
1956,19564,3,1281.10570518965,449.905213817272,2.84750135327387,240181.2,683916.292030942
1957,19571,4,14791.7804292848,6955.27875001427,2.12669843451702,1062331.2,2259258.09997859
1957,19572,5,13094.5797332936,6191.47531513122,2.11493692000872,851407.2,1800672.52124124
1957,19574,6,1285.46824140132,501.947980685906,2.56095908513218,121111.2,310160.82795126
1958,19581,7,26700.3141714362,9840.45469662254,2.71332118226207,672008.4,1823374.62637804
1958,19582,8,6991.24335647501,2382.74997535216,2.93410698931672,288716.4,847124.807170362
1959,19591,9,22532.2569185886,8545.73550878944,2.63666677905181,596257.2,1572131.55101045
1959,19592,10,7313.12095617167,2836.77815630394,2.57796717022807,238820.4,615671.150780735
1960,19601,11,21368.095064163,7003.26719503028,3.05116090377451,297334.8,907216.317091614
1960,19602,12,34061.973218435,9182.96563564432,3.70925630890102,237006,879116.000747396
1960,19603,13,2046.61069362158,728.060553558554,2.81104460833419,28803.6,80968.2044806146
1961,19611,14,50416.9920248714,13790.982799515,3.65579398929019,177584.4,649211.982111704
1961,19612,15,7507.71953489851,1876.85177741739,4.0001664623881,23360.4,93445.4886279709
1961,19614,16,3786.64310445364,1102.5028056788,3.43458817968472,45360,155792.919830499
1962,19621,17,33815.2215983016,7328.06339924177,4.61448267516359,154677.6,713757.105435884
1962,19622,18,24810.7316642461,5931.57552045339,4.18282319405581,202305.6,846208.555967378
1962,19624,19,1775.8373243141,582.395852444018,3.04919294473308,14968.8,45642.7593511205
1963,19631,20,12028.8005086343,5054.23302703416,2.37994576908,293932.8,699544.123753837
1963,19632,21,7119.03390040467,2732.82036270608,2.60501348627076,336571.2,876772.515090332
1964,19641,22,11320.237962725,5030.85881015983,2.2501601396294,503496,1132946.62966284
1964,19642,23,22126.3616138051,7862.34807207304,2.81421801871093,522547.2,1470561.74586694
1964,19643,24,1679.72366178406,768.825608762874,2.18479150881423,207748.8,453887.814206347
1965,19651,25,20902.1856769156,7598.87333475722,2.7506953670762,1026043.2,2822332.27666004
1965,19652,26,8924.01565113446,2952.32234620014,3.02271046473646,576072,1741298.86284166
1965,19653,27,1009.14662385,505.286152426572,1.99717846808922,317066.4,633238.187034563
1965,19654,28,1102.50778099676,457.68600414409,2.40887370602152,63504,152973.115827191
1966,19661,29,19937.7361081663,7424.55592874623,2.68537759018985,782913.6,2102418.63649486
1966,19662,30,14882.0828310664,5883.30241321085,2.52954578667399,647287.2,1637342.609528
1966,19663,31,1934.18173199496,895.927128051108,2.15886054952074,317066.4,684502.142538564
1966,19664,32,3542.16458960737,1253.54663208014,2.82571425662041,63504,179444.158152423
1967,19671,33,26855.0357914058,9300.15821949943,2.88758913102139,716688,2069500.47913346
1967,19672,34,15217.2627829858,5140.72252721715,2.96014085615771,494877.6,1464907.40255727
1967,19673,35,8208.4491330434,3056.39189416182,2.68566643849658,225892.8,606672.711658021
1967,19674,36,4531.07741628571,1209.7677485618,3.74541098625944,48535.2,181784.271300299
1968,19681,37,25557.9560580836,9046.13408451483,2.82529043006711,557474.4,1575027.0873274
1968,19682,38,7111.0201909027,2932.65440608058,2.42477264834161,284860.8,690722.67642471
1968,19684,39,3040.01305704895,929.173669559089,3.27173827309538,68493.6,224093.132582086
1969,19691,40,15930.1267257068,5359.44720362454,2.97234511703621,283046.4,841311.584934678
1969,19692,41,3811.57854528516,1466.4301638329,2.59922268328319,259459.2,674392.238026509
1969,19693,42,1231.88175117224,622.976150243694,1.97741398397091,87998.4,174009.266727066
1970,19701,43,2867.72903753753,1428.81935274509,2.00706200684359,135172.8,271300.191238668
1970,19702,44,905.026359854937,450.250935154505,2.01004881765404,99792,200586.791611332
1971,19711,45,2490.94968180003,1259.56954740153,1.97761980427267,450424.8,890769.004815554
1971,19712,46,6659.43469255118,1897.86206917628,3.50891395149782,384199.2,1348121.9330343
1972,19721,47,5918.33143786276,1692.81842332393,3.49614072975519,1279605.6,4473681.25618282
1972,19722,48,845.744045238636,453.953533926512,1.86306302744974,834624,1554957.11622221
1972,19723,49,2085.83376112384,904.265473734528,2.30666084430886,189151.2,436307.666694034
1972,19724,50,247.421093788838,275.079870209095,0.899451834119185,112039.2,100773.863933246
1973,19731,51,2102.41723446114,988.728927048339,2.12638386209404,1161216,2469190.96280539
1973,19732,52,900.274824735988,465.796342580503,1.93276490697304,569721.6,1101137.91522453
1974,19741,53,1953.77987357959,794.399709948467,2.45944182646584,1316347.2,3237479.3618312
1974,19742,54,3014.65114196726,1360.84172297585,2.21528418115731,800604,1773565.37657127
1975,19751,55,1195.12632283737,672.556832055686,1.77698934257265,1069135.2,1899841.85616927
1975,19752,56,2283.82961377621,994.32520213508,2.29686385185875,1080928.8,2482746.28715305
1976,19761,57,2260.51173493,1153.78707127933,1.95921049143281,692647.2,1357041.66110156
1976,19762,58,5831.91952780555,2323.80938009816,2.50963765692314,1246039.2,3127106.89832238
1976,19764,59,1786.46580052427,466.84989842985,3.82663851172008,21772.8,83316.634987979
1977,19771,60,4873.93487204378,2539.94688182964,1.91891212643505,638215.2,1224678.88655517
1977,19772,61,3972.90354286152,1743.50296025284,2.27869044873052,515743.2,1175219.10383771
1977,19773,62,1248.72967619639,387.101486878528,3.22584572398773,92080.8,297038.45494137
1978,19781,63,5113.13910160838,2507.96661718653,2.03875883616998,791532,1613742.8591113
1978,19782,64,9525.90077891403,3671.49441626562,2.59455679319897,974332.8,2527961.78507657
1978,19783,65,1147.39937793636,489.462014407627,2.34420515619583,125193.6,293479.482642719
1979,19791,66,3780.56492632214,1789.03197536281,2.11319024946743,944848.8,1996645.271381
1979,19792,67,1071.64516543697,504.817800124739,2.12283553625124,725306.4,1539706.20059045
1979,19794,68,2178.02683074418,722.100389722251,3.01623827066751,182800.8,551370.768868638
1980,19801,69,3252.78076466814,1523.00682366172,2.13576243660391,628689.6,1342731.63196354
